,frequency,magnitude,phase
0,1.0,17.174855090815413,-3.0651173133686265
1,2.0,16.657060755240227,-3.5756793180758777
2,4.0,16.351335548826434,-4.394105998314684
3,5.0,16.34591937244263,-3.6918556877500093
4,8.0,16.343967832193908,-4.332573631047296
5,10.0,15.950668652136635,-5.069631369412616
6,20.0,15.23390409248447,-6.281456974792223
7,40.0,13.966528953756253,-8.531733265165022
8,50.0,13.631285854171443,-9.002877995000658
9,80.0,12.965049422771118,-9.037933302315507
10,100.0,12.603797065834843,-8.547759390927252
11,200.0,11.631107741096777,-8.95437788372154
12,400.0,10.837513699938958,-9.011725413332215
13,500.0,10.830501393849376,-7.797788967145566
14,800.0,10.30951392880115,-8.402677143386612
15,1000.0,10.113315172604443,-7.095821335626473
16,2000.0,9.487872756529473,-7.337904671397952
17,4000.0,9.052073770772651,-6.563350731353842
18,5000.0,8.830323038018225,-6.625610417652352
19,8000.0,8.723209670905645,-4.914343532912149
20,10000.0,8.282005871620234,-3.9171288052058526
