Bias,Left,Right
Done Init Model
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
