,width (mm),length (mm),frequency (Hz),impedance (Ohm),phase (rad)
0,1.75,10.0,1.0,4442436.126356124,-12.008311071888379
1,1.75,10.0,2.0,4045747.8163291486,-24.76457435303715
2,1.75,10.0,3.0,4110548.0177429975,-24.409983278767395
3,1.75,10.0,4.0,3523493.2205991186,-31.86364098940943
4,1.75,10.0,5.0,3433928.125640022,-32.86514027930781
5,1.75,10.0,6.0,3559738.0129931467,-34.81641172684782
6,1.75,10.0,7.0,2387516.4714547317,-53.708097045584864
7,1.75,10.0,8.0,2095318.0693106959,-55.46442421506594
8,1.75,10.0,9.0,1889909.5338759783,-55.78709213785533
9,1.75,10.0,10.0,1843089.1081802484,-53.47622107601484
10,1.75,10.0,20.0,1415467.9121631521,-68.27798733742202
11,1.75,10.0,30.0,1164489.7805912213,-72.72105912418111
12,1.75,10.0,40.0,619204.6994598095,-73.3578583939576
13,1.75,10.0,50.0,730867.7455020051,-78.55889671529614
14,1.75,10.0,60.0,417448.76554037054,-76.5475347880289
15,1.75,10.0,70.0,529101.7315419478,-79.59037628059211
16,1.75,10.0,80.0,466286.3345783975,-80.31743229272195
17,1.75,10.0,90.0,413295.3599483813,-80.62161214830722
18,1.75,10.0,100.0,372789.36863698415,-80.95913015027936
19,1.75,10.0,200.0,188074.89555247745,-82.65425374771134
20,1.75,10.0,300.0,123235.25410003141,-86.50368796247545
21,1.75,10.0,400.0,93876.92117534995,-82.08708193798158
22,1.75,10.0,500.0,75381.93817039748,-81.7562228879207
23,1.75,10.0,600.0,62896.64687590182,-81.11686130566301
24,1.75,10.0,700.0,53815.358715003276,-80.78021667794475
25,1.75,10.0,800.0,47155.218291420715,-80.2119463861235
26,1.75,10.0,900.0,41924.170274155695,-79.6275391773241
27,1.75,10.0,1000.0,37778.902731569535,-78.87042777886305
28,1.75,10.0,1100.0,34258.95890133733,-78.42554322399157
29,1.75,10.0,1200.0,31304.325120799218,-77.78676786608676
30,1.75,10.0,1300.0,28878.970697223165,-77.0547443788875
31,1.75,10.0,1400.0,26825.262101591765,-76.32964394290768
32,1.75,10.0,1500.0,25184.181894828667,-75.8753573839499
