width (mm),length (mm),freq (Hz),Impedance Magnitude (Ohms),Capacitance (F),Impedance Phase (rad)
1,5,1,7.656750952235058E7,2.078622453288912E-9,-1.5706639884471743
1,5,1.1220184543019633,6.824087357911351E7,2.0786221873104392E-9,-1.570647841283711
1,5,1.2589254117941673,6.081975256790729E7,2.0786218524512813E-9,-1.5706297240980813
1,5,1.4125375446227544,5.4205672720903344E7,2.078621430906368E-9,-1.5706093966061039
1,5,1.5848931924611136,4.831086922074768E7,2.078620900071934E-9,-1.5705865892441897
1,5,1.7782794100389228,4.305712160168066E7,2.0786202318639452E-9,-1.5705609996111
1,5,1.9952623149688797,3.837471581970104E7,2.0786193909972696E-9,-1.5705322884843598
1,5,2.23872113856834,3.42015191996409E7,2.078618332524354E-9,-1.5705000753618523
1,5,2.51188643150958,3.0482155964562345E7,2.0786169996569077E-9,-1.570463933470674
1,5,2.8183829312644537,2.7167272417732686E7,2.078615321793324E-9,-1.5704233841797781
1,5,3.1622776601683795,2.421288206567635E7,2.0786132098611815E-9,-1.5703778907669315
1,5,3.548133892335755,2.157978194842289E7,2.0786105510310983E-9,-1.5703268514628264
1,5,3.981071705534973,1.923303242640352E7,2.0786072037747333E-9,-1.5702695916865974
1,5,4.466835921509632,1.7141493556654885E7,2.0786029901586203E-9,-1.5702053554223827
1,5,5.011872336272724,1.527741188309805E7,2.0785976867196222E-9,-1.5701332956341403
1,5,5.623413251903491,1.361605217464129E7,2.0785910113943028E-9,-1.570052463679843
1,5,6.309573444801933,1.2135369197685443E7,2.0785826090659223E-9,-1.5699617976305158
1,5,7.07945784384138,1.0815715181601264E7,2.0785720341120024E-9,-1.569860109443167
1,5,7.943282347242816,9639579.113492701,2.0785587256109923E-9,-1.569746071013395
1,5,8.912509381337456,8591354.376043428,2.078541977852199E-9,-1.569618199103619
1,5,10,7657131.647889951,2.07852090546644E-9,-1.5694748392005953
1,5,11.220184543019636,6824514.34687761,2.0784943944434362E-9,-1.5693141486794269
1,5,12.589254117941675,6082454.1209492525,2.078461047717362E-9,-1.56913407937598
1,5,14.125375446227547,5421104.249694108,2.0784191111329726E-9,-1.5689323604640708
1,5,15.848931924611142,4831688.973477578,2.0783663868973894E-9,-1.5687064822718928
1,5,17.78279410038923,4306387.0424602,2.078300122876413E-9,-1.56845368266189
1,5,19.952623149688797,3838227.924202215,2.078216878311543E-9,-1.5681709378243507
1,5,22.3872113856834,3420999.2987172822,2.078112358785085E-9,-1.5678549605011245
1,5,25.11886431509581,3049164.6081399736,2.077981217429675E-9,-1.5675022096514366
1,5,28.18382931264455,2717789.5706255087,2.0778168147115403E-9,-1.5671089173197383
1,5,31.622776601683793,2422476.6751750377,2.077610936505464E-9,-1.5666711403551992
1,5,35.48133892335755,2159306.788283772,2.0773534682018475E-9,-1.5661848472357751
1,5,39.810717055349734,1924787.097906594,2.077032024409453E-9,-1.565646053713027
1,5,44.668359215096324,1715804.6904254756,2.0766315537026186E-9,-1.5650510234480517
1,5,50.11872336272725,1529585.1468879122,2.076133937565116E-9,-1.5643965542786686
1,5,56.23413251903491,1363655.6055878296,2.0755176230842906E-9,-1.5636803724167017
1,5,63.09573444801933,1215811.7868916763,2.0747573713432773E-9,-1.5629016560537314
1,5,70.79457843841381,1084088.5439632908,2.0738242270654566E-9,-1.56206170490161
1,5,79.43282347242817,966733.5546846733,2.0726858529672823E-9,-1.5611647562660342
1,5,89.12509381337459,862183.8155652925,2.0713074183639563E-9,-1.56021892063977
1,5,100,769044.641473675,2.0696532787816766E-9,-1.5592371596904993
1,5,112.20184543019641,686070.9458456517,2.0676896331859913E-9,-1.5582381655279212
1,5,125.89254117941675,612150.6131164727,2.0653882850261076E-9,-1.5572469172922951
1,5,141.2537544622754,546289.8431457637,2.0627313689971602E-9,-1.5562946243750022
1,5,158.48931924611142,487600.34753958,2.0597166644535363E-9,-1.555417734703939
1,5,177.82794100389228,435288.31708976324,2.0563625864804895E-9,-1.5546557689126261
1,5,199.52623149688807,388645.0059045759,2.052711685781973E-9,-1.5540479464172616
1,5,223.872113856834,347038.72269160737,2.048831280783465E-9,-1.5536289229770912
1,5,251.18864315095823,309907.9003294357,2.044810277392253E-9,-1.5534243397864254
1,5,281.8382931264455,276754.8554389107,2.0407520715160384E-9,-1.553447143280909
1,5,316.22776601683796,247139.86899093125,2.0367645336654896E-9,-1.5536956089406428
1,5,354.81338923357566,220675.31998068525,2.032949146062708E-9,-1.5541535986644137
1,5,398.1071705534973,197019.81395431486,2.0293915245204497E-9,-1.5547929897305552
1,5,446.6835921509635,175872.41047577857,2.026155211140186E-9,-1.5555776140487922
1,5,501.18723362727246,156967.1724688386,2.023279494759408E-9,-1.5564677437998737
1,5,562.341325190349,140068.27391541068,2.020780697153658E-9,-1.557424224349945
1,5,630.9573444801937,124965.71778962895,2.0186570892006464E-9,-1.558411507384961
1,5,707.945784384138,111471.89137599662,2.016893500661374E-9,-1.559399605814392
1,5,794.3282347242822,99418.70414608941,2.0154668664190195E-9,-1.5603648704989828
1,5,891.2509381337459,88655.25611035294,2.014351552411603E-9,-1.5612898202388024
1,5,1000,79045.95976474979,2.0135232171645557E-9,-1.5621625054224761
1,5,1122.018454301964,70468.95870587503,2.0129619199670603E-9,-1.5629755850450404
1,5,1258.9254117941675,62814.767696677314,2.0126545102999507E-9,-1.5637253407960763
1,5,1412.5375446227554,55985.07177940507,2.0125966554816225E-9,-1.5644107503265174
1,5,1584.893192461114,49891.660437346705,2.012794269306103E-9,-1.5650327142094336
1,5,1778.2794100389228,44455.43140312153,2.0132661005826826E-9,-1.5655933705496232
1,5,1995.262314968881,39605.50151834916,2.0140461271877638E-9,-1.5660955966828736
1,5,2238.72113856834,35278.37938579217,2.0151873783750466E-9,-1.5665426039382904
1,5,2511.886431509582,31417.203729350073,2.016767511559343E-9,-1.5669376197645177
1,5,2818.382931264455,27971.039260296548,2.0188972116462105E-9,-1.5672836233660483
1,5,3162.2776601683795,24894.221084411078,2.0217331466478725E-9,-1.5675830966631856
1,5,3548.1338923357566,22145.735030034397,2.0254985332756625E-9,-1.5678377408532331
1,5,3981.0717055349733,19688.61462261629,2.0305169229200047E-9,-1.568048082066637
1,5,4466.835921509635,17489.320943192695,2.0372702041313974E-9,-1.5682128259546404
1,5,5011.872336272725,15517.041532767413,2.0465036918164283E-9,-1.5683276712228176
1,5,5623.413251903491,13742.773750998318,2.059429833309576E-9,-1.568382907137839
1,5,6309.573444801937,12137.877417895195,2.0781585363011406E-9,-1.5683580296322999
