,width (mm),length (mm),frequency (Hz),admittance (S),impedance (Ohm),phase (rad)
0,1.0,10.0,1.0,2.2281105405133767e-07,4488107.667089044,-14.159224511838671
1,1.0,10.0,2.0,2.3825639344175133e-07,4197159.142528861,-24.077924668601586
2,1.0,10.0,3.0,2.624251466026678e-07,3810610.427186227,-37.97671336665531
3,1.0,10.0,4.0,3.1360247078551153e-07,3188750.3867402566,-47.54159827069601
4,1.0,10.0,5.0,3.6473546199557295e-07,2741713.115935345,-51.27842978088874
5,1.0,10.0,6.0,4.0746702400006044e-07,2454186.329443562,-55.21213906203086
6,1.0,10.0,7.0,4.425141301503775e-07,2259814.8440145287,-62.540861325074886
7,1.0,10.0,8.0,5.118843681894748e-07,1953566.1999935275,-63.550521681029295
8,1.0,10.0,9.0,5.676928630295145e-07,1761515.8919974123,-63.84066312053735
9,1.0,10.0,10.0,6.024888211464978e-07,1659781.8331252418,-62.42527798749956
10,1.0,10.0,20.0,1.1063387035141443e-06,903882.3253888045,-74.9668428695463
11,1.0,10.0,30.0,1.6629308899863111e-06,601347.9008789306,-78.08627318198612
12,1.0,10.0,40.0,2.1790409187539743e-06,458917.4950288786,-79.45680960669648
13,1.0,10.0,50.0,2.709675499287149e-06,369047.88055362203,-80.52791269050674
14,1.0,10.0,60.0,2.609881254906391e-06,383159.1947411673,-70.6358057840888
15,1.0,10.0,70.0,3.7650531423458895e-06,265600.5007613068,-81.79552563784158
16,1.0,10.0,80.0,4.303662556310639e-06,232360.22502128064,-82.05621804001808
17,1.0,10.0,90.0,4.831208179778753e-06,206987.56145213253,-82.25974145707372
18,1.0,10.0,100.0,5.332438049522494e-06,187531.48010590527,-82.46960008281206
19,1.0,10.0,200.0,1.0621186418141983e-05,94151.44039764768,-82.8754232730035
20,1.0,10.0,300.0,1.5209314479241909e-05,65749.18293423596,-81.30155367156453
21,1.0,10.0,400.0,2.130767737741986e-05,46931.44082703817,-82.06344430615162
22,1.0,10.0,500.0,2.676605906805599e-05,37360.7484559971,-81.4314244191404
23,1.0,10.0,600.0,3.246055031456318e-05,30806.624974295573,-80.66136411854002
24,1.0,10.0,700.0,3.792564814865835e-05,26367.380620108815,-80.18103184612934
25,1.0,10.0,800.0,4.371004274650486e-05,22878.03756677776,-79.52606396073651
26,1.0,10.0,900.0,4.987632464351867e-05,20049.592810763534,-78.77496251372919
27,1.0,10.0,1000.0,5.688703550902857e-05,17578.69769538772,-77.90083705488851
28,1.0,10.0,1100.0,6.479238006464657e-05,15433.913663956324,-76.91033127976745
29,1.0,10.0,1200.0,7.499965341141446e-05,13333.394949366613,-75.38950837527494
30,1.0,10.0,1300.0,9.13948570190291e-05,10941.534705741622,-71.71779324422756
31,1.0,10.0,1400.0,0.00012091779239815238,8270.081517095907,-50.5660104480378
32,1.0,10.0,1500.0,7.745067772385258e-05,12911.442861293759,-27.6505442979136
