,length,width,bulk,capacitance,inductance,resistance
0,5,1,2.2483212312826964e-09,600.6940282192507242e-12,341.435149062611024e-03,1067.611799585442
1,5,2,4.310283390556778e-09,1.406246161915976e-09,183.73898020776624e-03,483.535110370295
2,5,5,9.0216450009565837e-09,2.28638448631727e-09,99.2667088068986e-03,375.77317550562
3,5,10,21.3036731550932845e-09,4.11328055825273e-09,48.9545565288087e-03,211.97671640208
4,5,20,45.123736022995734e-09,8.176550091527418e-09,20.63788707219266e-03,83.371756265527
5,10,1,3.852548594108888e-09,650.892075476276011e-12,6.636509717884501,3828.929092957973
6,10,2,7.5574195125913066e-09,1.3828195214449937e-09,2.7609577190812704,1502.08289043337
7,10,5,17.168837896754152e-09,2.8902301712638248e-09,1.368084836937289347,513.844965732246
8,10,10,35.0139432233433375e-09,5.562429583705563e-09,693.75343672821142e-03,376.144361012027
9,10,20,68.70165938595502e-09,10.9032396276059385e-09,478.018164954728926e-03,137.620686366793
10,20,1,8.0194548817149e-09,1.0691383451381e-09,61.512982393312445,3855.094552069602
11,20,2,15.0959282496429018e-09,2.0071564410565379e-09,31.505039493554856,2243.494856801305
12,20,5,36.1802560849301304e-09,7.4788804865618857e-09,8.236785961267541,998.675464928972
13,20,10,71.900278796401891e-09,15.490922258059808e-09,4.017158657530225,524.34401020878
14,20,20,150.679286036890051e-09,32.899678600908886e-09,2.10890376427576743,294.639308729587

