width (mm),length (mm),frequency (Hz),admittance (S),phase (rad)
1,1,1,2.5968834711020248E-9,1.5707963267948966
1,1,1.1220184543019633,2.91375117825015E-9,1.5707963267948966
1,1,1.2589254117941673,3.2692825932437357E-9,1.5707963267948966
1,1,1.4125375446227544,3.6681954019515407E-9,1.5707963267948966
1,1,1.5848931924611136,4.115782934980505E-9,1.5707963267948966
1,1,1.7782794100389228,4.617984406956811E-9,1.5707963267948966
1,1,1.9952623149688797,5.1814637262967565E-9,1.5707963267948966
1,1,2.23872113856834,5.813697921217996E-9,1.5707963267948966
1,1,2.51188643150958,6.523076355369214E-9,1.5707963267948966
1,1,2.8183829312644537,7.319012049578886E-9,1.5707963267948966
1,1,3.1622776601683795,8.21206658693514E-9,1.5707963267948966
1,1,3.548133892335755,9.214090258565272E-9,1.5707963267948966
1,1,3.981071705534973,1.0338379309801675E-8,1.5707963267948966
1,1,4.466835921509632,1.1599852373306144E-8,1.5707963267948966
1,1,5.011872336272724,1.301524843020987E-8,1.5707963267948966
1,1,5.623413251903491,1.4603348926282184E-8,1.5707963267948966
1,1,6.309573444801933,1.638522699027188E-8,1.5707963267948966
1,1,7.07945784384138,1.838452706153215E-8,1.5707963267948966
1,1,7.943282347242816,2.062777863739353E-8,1.5707963267948966
1,1,8.912509381337456,2.3144748303454218E-8,1.5707963267948966
1,1,10,2.596883471812724E-8,1.5707963267948966
1,1,11.220184543019636,2.9137511792532666E-8,1.5707963267948966
1,1,12.589254117941675,3.269282594661304E-8,1.5707963267948966
1,1,14.125375446227547,3.668195403952912E-8,1.5707963267948966
1,1,15.848931924611142,4.115782937808482E-8,1.5707963267948966
1,1,17.78279410038923,4.6179844109505806E-8,1.5707963267948966
1,1,19.952623149688797,5.1814637319392835E-8,1.5707963267948966
1,1,22.3872113856834,5.8136979291856256E-8,1.5707963267948966
1,1,25.11886431509581,6.523076366620475E-8,1.5707963267948966
1,1,28.18382931264455,7.31901206547238E-8,1.5707963267948966
1,1,31.622776601683793,8.212066609381622E-8,1.5707963267948966
1,1,35.48133892335755,9.21409029027052E-8,1.5707963267948966
1,1,39.810717055349734,1.033837935459476E-7,1.5707963267948966
1,1,44.668359215096324,1.1599852436567454E-7,1.5707963267948966
1,1,50.11872336272725,1.3015248519581972E-7,1.5707963267948966
1,1,56.23413251903491,1.4603349052521352E-7,1.5707963267948966
1,1,63.09573444801933,1.638522716858618E-7,1.5707963267948966
1,1,70.79457843841381,1.8384527313410133E-7,1.5707963267948966
1,1,79.43282347242817,2.0627778993173486E-7,1.5707963267948966
1,1,89.12509381337459,2.3144748806019095E-7,1.5707963267948966
1,1,100,2.596883542801832E-7,1.5707963267948966
1,1,112.20184543019641,2.9137512795279873E-7,1.5707963267948966
1,1,125.89254117941675,3.2692827363027326E-7,1.5707963267948966
1,1,141.2537544622754,3.668195604028084E-7,1.5707963267948966
1,1,158.48931924611142,4.1157832204224755E-7,1.5707963267948966
1,1,177.82794100389228,4.617984810154864E-7,1.5707963267948966
1,1,199.52623149688807,5.181464295834868E-7,1.5707963267948966
1,1,223.872113856834,5.813698725712927E-7,1.5707963267948966
1,1,251.18864315095823,6.523077491747513E-7,1.5707963267948966
1,1,281.8382931264455,7.319013655083372E-7,1.5707963267948966
1,1,316.22776601683796,8.21206885476656E-7,1.5707963267948966
1,1,354.81338923357566,9.214093461963066E-7,1.5707963267948966
1,1,398.1071705534973,1.0338383834734175E-6,1.5707963267948966
1,1,446.6835921509635,1.1599858764986736E-6,1.5707963267948966
1,1,501.18723362727246,1.3015257458734759E-6,1.5707963267948966
1,1,562.341325190349,1.460336167042384E-6,1.5707963267948966
1,1,630.9573444801937,1.638524495513341E-6,1.5707963267948966
1,1,707.945784384138,1.8384552436388206E-6,1.5707963267948966
1,1,794.3282347242822,2.0627814478767372E-6,1.5707963267948966
1,1,891.2509381337459,2.3144798930909093E-6,1.5707963267948966
1,1,1000,2.596890623155787E-6,1.5707963267948966
1,1,1122.018454301964,2.913761280841414E-6,1.5707963267948966
1,1,1258.9254117941675,3.269296863678863E-6,1.5707963267948966
1,1,1412.5375446227554,3.6682155607998413E-6,1.5707963267948966
1,1,1584.893192461114,4.115811412708182E-6,1.5707963267948966
1,1,1778.2794100389228,4.618024633316202E-6,1.5707963267948966
1,1,1995.262314968881,5.181520548428501E-6,1.5707963267948966
1,1,2238.72113856834,5.813778186189093E-6,1.5707963267948966
1,1,2511.886431509582,6.52318973546398E-6,1.5707963267948966
1,1,2818.382931264455,7.3191722085707665E-6,1.5707963267948966
1,1,3162.2776601683795,8.212292826406866E-6,1.5707963267948966
1,1,3548.1338923357566,9.214409846123126E-6,1.5707963267948966
1,1,3981.0717055349733,1.0338830767338304E-5,1.5707963267948966
1,1,4466.835921509635,1.1600490124019789E-5,1.5707963267948966
1,1,5011.872336272725,1.30161493659624E-5,1.5707963267948966
1,1,5623.413251903491,1.4604621690016713E-5,1.5707963267948966
1,1,6309.573444801937,1.6387025098171524E-5,1.5707963267948966
1,1,7079.457843841381,1.8387067456938132E-5,1.5707963267948966
1,1,7943.282347242822,2.063136793168599E-5,1.5707963267948966
1,1,8912.509381337459,2.3149819900699076E-5,1.5707963267948966
1,1,10000,2.5976001359019312E-5,1.5707963267948966
1,2,1,5.392643050238991E-9,1.5707963267948966
1,2,1.1220184543019633,6.050645019887751E-9,1.5707963267948966
1,2,1.2589254117941673,6.78893537281126E-9,1.5707963267948966
1,2,1.4125375446227544,7.617310773471326E-9,1.5707963267948966
1,2,1.5848931924611136,8.546763260140114E-9,1.5707963267948966
1,2,1.7782794100389228,9.58962610264028E-9,1.5707963267948966
1,2,1.9952623149688797,1.0759737457376588E-8,1.5707963267948966
1,2,2.23872113856834,1.2072623991167391E-8,1.5707963267948966
1,2,2.51188643150958,1.354570691061057E-8,1.5707963267948966
1,2,2.8183829312644537,1.519853313125332E-8,1.5707963267948966
