width (mm),length (mm),frequency (Hz),admittance (S),phase (rad)
5,5,2511.88643150958,1.7039638918211873E-4,1.5456707151781888
5,5,2570.3957827688646,1.744304905734798E-4,1.5456783599738115
5,5,2630.2679918953813,1.785637446315509E-4,1.545686414853576
5,5,2691.5348039269165,1.8279890408412069E-4,1.5456949044689852
5,5,2754.2287033381663,1.871388276516355E-4,1.5457038552281872
5,5,2818.382931264455,1.9158648709364086E-4,1.5457132954575374
5,5,2884.031503126606,1.9614497484144228E-4,1.5457232555646674
5,5,2951.209226666387,2.008175126418286E-4,1.5457337682375125
5,5,3019.9517204020162,2.0560746104996046E-4,1.545744868657246
5,5,3090.295432513592,2.105183298047962E-4,1.5457565947113263
5,5,3162.2776601683795,2.1555378997775216E-4,1.54576898729464
5,5,3235.9365692962842,2.2071768692070778E-4,1.5457820905688222
5,5,3311.311214825911,2.260140553800174E-4,1.5457959523188518
5,5,3388.4415613920273,2.3144713609158705E-4,1.5458106243013108
5,5,3467.368504525317,2.3702139491993063E-4,1.5458261626764254
5,5,3548.1338923357566,2.4274154453674928E-4,1.545842628484366
5,5,3630.780547701014,2.4861256887241244E-4,1.5458600881638005
5,5,3715.3522909717276,2.546397513317217E-4,1.545878614159511
5,5,3801.8939632056126,2.6082870725270275E-4,1.5458982856188477
5,5,3890.4514499428046,2.671854212433194E-4,1.545919189173922
5,5,3981.0717055349733,2.737162903402785E-4,1.5459414198310872
5,5,4073.802778041126,2.8042817446522514E-4,1.5459650820104578
5,5,4168.693834703355,2.873284552041783E-4,1.5459902907241991
5,5,4265.795188015925,2.9442510477690017E-4,1.5460171729349983
5,5,4365.158322401661,3.0172676784066425E-4,1.546045869154902
5,5,4466.835921509631,3.0924285794757154E-4,1.546076535260637
5,5,4570.881896148751,3.169836731490082E-4,1.5461093446461678
5,5,4677.351412871981,3.2496053441308297E-4,1.5461444907172965
5,5,4786.300923226385,3.3318595273087624E-4,1.5461821898202555
5,5,4897.7881936844615,3.4167383273485077E-4,1.546222684721945
5,5,5011.872336272725,3.504397209095869E-4,1.5462662486675498
5,5,5128.613839913648,3.5950111234579307E-4,1.5463131902407814
5,5,5248.074602497728,3.688778321703753E-4,1.5463638591660074
5,5,5370.317963702527,3.78592512174098E-4,1.546418653172072
5,5,5495.408738576249,3.8867119510045564E-4,1.5464780263069464
5,5,5623.413251903491,3.9914410517420836E-4,1.5465424988860832
5,5,5754.399373371572,4.100466438896084E-4,1.5466126695496383
5,5,5888.43655355589,4.21420688376343E-4,1.546689229749026
5,5,6025.5958607435805,4.3331631049948804E-4,1.5467729813430284
5,5,6165.9500186148225,4.457940794614727E-4,1.5468648577105526
5,5,6309.573444801937,4.5892819913709163E-4,1.5469659491203314
5,5,6456.542290346556,4.728108500012906E-4,1.5470775325922081
5,5,6606.9344800759645,4.875583191174998E-4,1.5472011062915945
5,5,6760.829753919819,5.033198344254044E-4,1.5473384268103885
5,5,6918.309709189362,5.202906127474002E-4,1.5474915448346505
5,5,7079.457843841381,5.38731664717258E-4,1.5476628272518853
5,5,7244.359600749898,5.590008275966498E-4,1.5478549373862192
5,5,7413.102413009177,5.816032303381037E-4,1.5480707067296646
5,5,7585.775750291836,6.072770340431249E-4,1.5483127389139457
5,5,7762.4711662869195,6.37147029645235E-4,1.548582352962207
5,5,7943.282347242814,6.730182378355854E-4,1.5488768387553722
5,5,8128.305161640995,7.179850876039009E-4,1.5491821272462798
5,5,8317.63771102671,7.778382409148291E-4,1.5494517738740026
5,5,8511.380382023768,8.648275744769737E-4,1.5495390314452855
5,5,8709.635899560806,0.00101016701491902,1.5489304106262587
5,5,8912.509381337459,0.0013239324752804637,1.5452754341132344
5,5,9120.108393559096,0.00267018218021021,1.5158780763470932
5,5,9332.543007969914,0.0023630811738477964,-1.4626891697558524
5,5,9549.92586021436,2.837444984419371E-4,-1.4441032370587823
5,5,9772.372209558112,9.349902637399292E-5,1.3237651346634591
5,5,10000,2.543370104714459E-4,1.4926621495122934
5,5,10232.929922807536,3.499734540596796E-4,1.516703923136374
5,5,10471.285480509006,4.1606048932787303E-4,1.5258754799014655
5,5,10715.193052376071,4.6653182040917257E-4,1.5306129037089855
5,5,10964.78196143185,5.078415677390729E-4,1.5334727283752605
5,5,11220.18454301963,5.433868479362656E-4,1.5353733250561958
5,5,11481.53621496884,5.751275086894744E-4,1.5367218713518436
5,5,11748.975549395303,6.042751958769496E-4,1.5377252443229934
5,5,12022.644346174131,6.316208340937295E-4,1.5384991792422256
5,5,12302.68770812381,6.577040368156804E-4,1.5391132589788465
5,5,12589.254117941662,6.829068232451675E-4,1.5396117305362689
5,5,12882.495516931349,7.075083643216441E-4,1.5400240233914957
5,5,13182.567385564074,7.317184400115006E-4,1.5403704468776942
5,5,13489.628825916532,7.556986828327669E-4,1.5406654554657722
5,5,13803.842646028837,7.795765141099722E-4,1.5409196097586546
5,5,14125.375446227554,8.034545500145819E-4,1.5411408016038008
5,5,14454.39770745928,8.274171125898532E-4,1.5413350458069064
5,5,14791.083881682072,8.515348385103982E-4,1.541507006941043
5,5,15135.612484362071,8.758680095417251E-4,1.5416603590093716
5,5,15488.166189124828,9.004690060073342E-4,1.5417980366372404
5,5,15848.93192461114,9.253841482718291E-4,1.541922414117284
5,5,16218.100973589299,9.50655104870051E-4,1.5420354353953467
5,5,16595.869074375598,9.763199911354929E-4,1.542138710062902
5,5,16982.43652461746,0.0010024142457649122,1.5422335853855096
5,5,17378.00828749376,0.0010289713491400385,1.5423212011968148
5,5,17782.794100389227,0.0010560234313115432,1.5424025323895052
5,5,18197.008586099826,0.0010836018083412522,1.5424784223745156
5,5,18620.871366628693,0.0011117374795347184,1.5425496099369216
5,5,19054.607179632483,0.0011404616168130665,1.5426167513204103
5,5,19498.445997580457,0.001169806078675939,1.5426804389542101
5,5,19952.62314968879,0.001199803988063051,1.5427412180140088
5,5,20417.379446695315,0.0012304904249256807,1.54279960188638
5,5,20892.96130854041,0.0012619033063545884,1.542856087649485
5,5,21379.620895022323,0.0012940845636053517,1.5429111728688807
5,5,21877.616239495517,0.0013270817894076388,1.5429653754481125
5,5,22387.211385683422,0.0013609506415803094,1.5430192590974448
