,length,width,bulk,capacitance,inductance,resistance
0,5,5,6.310293886312272e-09,5.000836191476688e-09,999999.9678534196,2133.4362350048277
1,5,10,1.335229447097821e-08,7.2452703289670625e-09,0.07941756074730756,1740.5968321504304
2,5,20,3.1297016351220945e-08,9.467007326975242e-09,0.19083214178663718,16093.828839171696
3,5,50,5.645682953075819e-08,4.5121242782987994e-08,0.07861488397435205,3407.6758932676635
4,10,5,1.3068191888023933e-08,9.272723041555326e-09,1.3437846250511913,15416.44185381394
5,10,10,1.4181002641721892e-08,2.9307933957748368e-08,0.006030378661767279,3667.1691359004903
6,10,20,6.409004121081543e-08,1.8719259869503574e-08,0.6560802760149972,8336.884492052564
7,10,50,8.972983533775809e-08,5.224398961395067e-08,8.000000954673904,7999.999999999993
8,20,5,3.0160532563158786e-08,1.3371126437044956e-08,6.777816606103736,4995.217441106915
9,20,10,3.7260255608574415e-08,4.9916528282774304e-08,3.3877357518575666,4787.373080306761
10,20,20,1.2794758367158254e-07,4.12035366677146e-08,2.80056571861765,4547.428640143329
11,20,50,3.1664580228836113e-07,9.002658891832115e-08,1.7928741609480352,2669.1383448274228
12,50,5,7.453626191497265e-08,1.5349472265960523e-08,1.6269829079275844,3304.541218560697
13,50,10,1.6725607073307826e-07,8.53290443306848e-09,0.649650187667896,24876.05925930148
14,50,20,2.3038045040428022e-07,8.268686505753864e-09,0.3861077801931211,4182.862858901171
15,50,50,4.528701876856509e-07,6.392762788135959e-07,35.075900417305256,22136.38857046166
16,1,5,6.6e-09,1.8e-09,8.0,8000.0
17,1,10,3.8551599539103815e-09,5.44809965066671e-12,1.0393437032139483,186509.01852263327
18,1,20,7.71652989702219e-09,1.27098830952617e-12,3.687747756108141,477108.1128123896
19,1,50,1.9233532149139826e-08,2.5936915454994687e-12,1.1655779653912453,752939.6919277433
20,2,5,6.6e-09,1.8e-09,8.0,8000.0
21,2,10,3.821232178571095e-09,4.19345888698942e-09,0.03818647882618882,25443.52794842421
22,2,20,8.938673926526433e-09,7.043468158602616e-09,0.030984012333506096,20235.297026192773
23,2,50,3.885029584287339e-08,9.051583974119591e-10,0.10061846643909121,67016.293721688
