width (mm),length (mm),frequency (Hz),admittance (S),phase (rad)
1,1,1,2.6346517185030823E-9,1.5442380583683752
1,1,1.023292992280754,2.696020640644684E-9,1.5442380583683755
1,1,1.0471285480508996,2.7588190286162135E-9,1.5442380583683777
1,1,1.0715193052376064,2.8230801789538367E-9,1.5442380583683781
1,1,1.096478196143185,2.888838163770666E-9,1.544238058368381
1,1,1.1220184543019633,2.9561278488198543E-9,1.5442380583683815
1,1,1.1481536214968828,3.0249849119839015E-9,1.5442380583683848
1,1,1.1748975549395295,3.0954458621886503E-9,1.5442380583683875
1,1,1.202264434617413,3.1675480587627023E-9,1.5442380583683915
1,1,1.2302687708123816,3.241329731244591E-9,1.5442380583683921
1,1,1.2589254117941673,3.316829999654191E-9,1.5442380583683937
1,1,1.288249551693134,3.394088895233323E-9,1.5442380583683961
1,1,1.318256738556407,3.47314738167035E-9,1.5442380583683972
1,1,1.3489628825916535,3.554047376822305E-9,1.5442380583684012
1,1,1.3803842646028848,3.6368317749366838E-9,1.5442380583684046
1,1,1.4125375446227544,3.721544469397318E-9,1.5442380583684068
1,1,1.4454397707459274,3.808230375996088E-9,1.5442380583684094
1,1,1.4791083881682074,3.896935456748155E-9,1.5442380583684123
1,1,1.5135612484362082,3.987706744261496E-9,1.5442380583684152
1,1,1.5488166189124815,4.080592366674289E-9,1.5442380583684188
1,1,1.5848931924611136,4.17564157317302E-9,1.5442380583684223
1,1,1.62181009735893,4.2729047601050475E-9,1.5442380583684259
1,1,1.6595869074375607,4.372433497700416E-9,1.5442380583684334
1,1,1.6982436524617444,4.4742805574117585E-9,1.5442380583684383
1,1,1.7378008287493754,4.578499939898647E-9,1.5442380583684434
1,1,1.7782794100389228,4.685146903657701E-9,1.5442380583684485
1,1,1.8197008586099834,4.794277994320112E-9,1.5442380583684532
1,1,1.8620871366628675,4.905951074635264E-9,1.544238058368459
1,1,1.9054607179632472,5.020225355148303E-9,1.5442380583684656
1,1,1.9498445997580451,5.137161425595116E-9,1.5442380583684712
1,1,1.9952623149688795,5.256821287028976E-9,1.544238058368479
1,1,2.041737944669529,5.379268384691384E-9,1.5442380583684867
1,1,2.0892961308540396,5.504567641654268E-9,1.5442380583684927
1,1,2.137962089502232,5.632785493242126E-9,1.5442380583684985
1,1,2.1877616239495525,5.763989922258462E-9,1.5442380583685085
1,1,2.23872113856834,5.898250495026762E-9,1.544238058368516
1,1,2.290867652767773,6.035638398280464E-9,1.5442380583685251
1,1,2.344228815319922,6.176226476904836E-9,1.5442380583685353
1,1,2.3988329190194904,6.320089272558823E-9,1.5442380583685449
1,1,2.4547089156850306,6.467303063202855E-9,1.5442380583685578
1,1,2.51188643150958,6.617945903534841E-9,1.5442380583685666
1,1,2.570395782768864,6.7720976663849705E-9,1.544238058368579
1,1,2.6302679918953817,6.929840085057099E-9,1.5442380583685893
1,1,2.6915348039269156,7.0912567966697944E-9,1.5442380583686004
1,1,2.7542287033381663,7.256433386500446E-9,1.5442380583686124
1,1,2.8183829312644537,7.425457433363429E-9,1.5442380583686242
1,1,2.884031503126606,7.598418556047004E-9,1.5442380583686408
1,1,2.951209226666386,7.775408460824668E-9,1.544238058368653
1,1,3.019951720402016,7.956520990089148E-9,1.5442380583686677
1,1,3.0902954325135905,8.141852172100143E-9,1.5442380583686823
1,1,3.1622776601683795,8.331500271903511E-9,1.5442380583686985
1,1,3.2359365692962827,8.52556584343302E-9,1.5442380583687163
1,1,3.311311214825911,8.724151782820191E-9,1.5442380583687296
1,1,3.3884415613920256,8.927363382962562E-9,1.5442380583687467
1,1,3.4673685045253166,9.135308389340469E-9,1.5442380583687676
1,1,3.548133892335755,9.348097057148438E-9,1.5442380583687914
1,1,3.630780547701014,9.565842209753236E-9,1.5442380583688151
1,1,3.715352290971726,9.78865929851546E-9,1.5442380583688344
1,1,3.8018939632056115,1.0016666464009832E-8,1.5442380583688609
1,1,3.890451449942806,1.0249984598647946E-8,1.5442380583688828
1,1,3.9810717055349722,1.0488737410798159E-8,1.5442380583689084
1,1,4.073802778041127,1.0733051490359042E-8,1.5442380583689344
1,1,4.168693834703354,1.0983056375891174E-8,1.5442380583689639
1,1,4.265795188015927,1.1238884623292242E-8,1.5442380583689914
1,1,4.36515832240166,1.1500671876089995E-8,1.5442380583690263
1,1,4.466835921509632,1.1768556937345832E-8,1.5442380583690587
1,1,4.570881896148751,1.204268184326985E-8,1.5442380583690978
1,1,4.677351412871983,1.2323191938508117E-8,1.5442380583691298
1,1,4.786300923226384,1.2610235953232438E-8,1.5442380583691657
1,1,4.8977881936844625,1.2903966081979497E-8,1.544238058369205
1,1,5.011872336272724,1.320453806435034E-8,1.544238058369247
1,1,5.1286138399136485,1.3512111267587672E-8,1.5442380583692903
1,1,5.248074602497725,1.382684877107539E-8,1.544238058369333
1,1,5.370317963702527,1.4148917452809111E-8,1.5442380583693844
