width (mm),length (mm),frequency (Hz),admittance (S),phase (rad)
35,5,1,4.4881107346648914E-7,1.5444443272763302
35,5,1.1220184543019633,5.035743071031723E-7,1.544444327284332
35,5,1.2589254117941673,5.650196659196242E-7,1.5444443272937225
35,5,1.4125375446227544,6.339624925591327E-7,1.5444443273063793
35,5,1.5848931924611136,7.113176166551442E-7,1.5444443273276953
35,5,1.7782794100389228,7.98111493434541E-7,1.5444443273467994
35,5,1.9952623149688797,8.954958252634049E-7,1.5444443273730133
35,5,2.23872113856834,1.0047628436999655E-6,1.5444443274182675
35,5,2.51188643150958,1.1273624549476354E-6,1.5444443274607849
35,5,2.8183829312644537,1.2649214822896935E-6,1.5444443275170563
35,5,3.1622776601683795,1.4192652508541284E-6,1.5444443275885023
35,5,3.548133892335755,1.5924418090610128E-6,1.5444443276744355
35,5,3.981071705534973,1.7867491062936759E-6,1.544444327790014
35,5,4.466835921509632,2.0047654821303764E-6,1.5444443279214242
35,5,5.011872336272724,2.2493838854812904E-6,1.544444328102233
35,5,5.623413251903491,2.52385025575927E-6,1.5444443283302796
35,5,6.309573444801933,2.831806597547377E-6,1.5444443286071867
35,5,7.07945784384138,3.177339311369956E-6,1.5444443289624212
35,5,7.943282347242816,3.5650334124987498E-6,1.5444443294035621
35,5,8.912509381337456,4.0000333781302554E-6,1.5444443299637796
35,5,10,4.488111408112715E-6,1.544444330669285
35,5,11.220184543019636,5.0357440212907765E-6,1.544444331551297
35,5,12.589254117941675,5.6501980020102845E-6,1.5444443326676776
35,5,14.125375446227547,6.339626822440717E-6,1.5444443340719507
35,5,15.848931924611142,7.1131788445014976E-6,1.544444335840488
35,5,17.78279410038923,7.981118719247908E-6,1.544444338070116
35,5,19.952623149688797,8.954963597210687E-6,1.5444443408684392
35,5,22.3872113856834,1.0047635981375369E-5,1.5444443443964704
35,5,25.11886431509581,1.1273635207101125E-5,1.5444443488369122
35,5,28.18382931264455,1.2649229877217724E-5,1.5444443544281798
35,5,31.622776601683793,1.4192673772136346E-5,1.5444443614655137
35,5,35.48133892335755,1.5924448129998728E-5,1.5444443703284687
35,5,39.810717055349734,1.7867533471476568E-5,1.544444381458491
35,5,44.668359215096324,2.0047714722679023E-5,1.5444443954834162
35,5,50.11872336272725,2.249392344531335E-5,1.5444444131347472
35,5,56.23413251903491,2.5238622041707505E-5,1.5444444353766367
35,5,63.09573444801933,2.831823475718328E-5,1.5444444633751877
35,5,70.79457843841381,3.1773631530643334E-5,1.5444444986293175
35,5,79.43282347242817,3.56506709145767E-5,1.544444543011354
35,5,89.12509381337459,4.000080953226813E-5,1.544444598891899
35,5,100,4.488178614057322E-5,1.544444669249622
35,5,112.20184543019641,5.035838957750357E-5,1.544444757820266
35,5,125.89254117941675,5.650332112878408E-5,1.5444448693417552
35,5,141.2537544622754,6.339816274596665E-5,1.5444450097519107
35,5,158.48931924611142,7.113446480235675E-5,1.5444451865454345
35,5,177.82794100389228,7.981496812899846E-5,1.5444454091600206
35,5,199.52623149688807,8.955497759277723E-5,1.5444456894869625
35,5,223.872113856834,1.0048390664611987E-4,1.5444460425136006
35,5,251.18864315095823,1.1274701506189189E-4,1.5444464871209
35,5,281.8382931264455,1.265073656301052E-4,1.5444470471293497
35,5,316.22776601683796,1.4194802915645742E-4,1.5444477525929907
35,5,354.81338923357566,1.5927457209521164E-4,1.544448641428183
35,5,398.1071705534973,1.7871786749883622E-4,1.5444497615306285
35,5,446.6835921509635,2.0053727673359484E-4,1.544451173447449
35,5,501.18723362727246,2.2502425806892316E-4,1.5444529536602045
35,5,562.341325190349,2.5250647907577097E-4,1.5444551994715712
35,5,630.9573444801937,2.833525022989756E-4,1.5444580339822
35,5,707.945784384138,3.1797717375764255E-4,1.544461613880533
35,5,794.3282347242822,3.56847839777512E-4,1.5444661389819392
35,5,891.2509381337459,4.0049158211617693E-4,1.5444718649284428
35,5,1000,4.4950372178058205E-4,1.5444791201624861
35,5,1122.018454301964,5.045579414341885E-4,1.5444883288585098
35,5,1258.9254117941675,5.664185565285521E-4,1.544500043398497
35,5,1412.5375446227554,6.359555608697946E-4,1.5445149849147397
35,5,1584.893192461114,7.14163931894726E-4,1.5445341114148776
35,5,1778.2794100389228,8.021887222244961E-4,1.5445587072571036
35,5,1995.262314968881,9.013594608577807E-4,1.5445905240292894
35,5,2238.72113856834,0.0010132395801834345,1.5446320000741232
35,5,2511.886431509582,0.001139701929845358,1.5446866186578212
35,5,2818.382931264455,0.0012830528424299893,1.5447595216742345
35,5,3162.2776601683795,0.0014462542044361363,1.5448586230082302
35,5,3548.1338923357566,0.0016333639106456976,1.544996775960408
35,5,3981.0717055349733,0.0018505271921758827,1.5451963749837057
35,5,4466.835921509635,0.0021086085260400627,1.5455002456359248
35,5,5011.872336272725,0.0024320446308241836,1.5460009726704034
35,5,5623.413251903491,0.0029031042500458925,1.546924261325985
35,5,6309.573444801937,0.004250971780497305,1.547709568206584
35,5,7079.457843841381,0.001574589052735635,1.50690606567701
35,5,7943.282347242822,0.0029359464889345773,1.5383332899777145
35,5,8912.509381337459,0.003596484910056912,1.5413557642886855
35,5,10000,0.004260589369658407,1.542799357560609
35,5,11220.18454301963,0.0053300188934210496,1.5443497433628495
35,5,12589.254117941688,0.004066852009655487,1.5308978388703394
35,5,14125.375446227554,0.0055994049041766915,1.5408459747122056
35,5,15848.93192461114,0.0066807572457183014,1.542457194221727
35,5,17782.794100389227,0.013014439456776513,1.518388935503159
35,5,19952.62314968879,0.007754041685061424,1.540170125882569
35,10,1,9.058564890565687E-7,1.5447422077020745
35,10,1.1220184543019633,1.0163877027751154E-6,1.544742207817532
35,10,1.2589254117941673,1.140405766442087E-6,1.544742207963393
35,10,1.4125375446227544,1.2795563256865368E-6,1.5447422081486513
35,10,1.5848931924611136,1.435685828563802E-6,1.544742208434309
35,10,1.7782794100389228,1.610866016646843E-6,1.5447422087537939
35,10,1.9952623149688797,1.8074214291429876E-6,1.5447422091476941
35,10,2.23872113856834,2.0279602473146937E-6,1.5447422097043173
35,10,2.51188643150958,2.275408883535795E-6,1.544742210324222
35,10,2.8183829312644537,2.5530508475699366E-6,1.5447422111265485
35,10,3.1622776601683795,2.864570283783108E-6,1.5447422120717011
35,10,3.548133892335755,3.214100892925352E-6,1.544742213292475
35,10,3.981071705534973,3.606280769054112E-6,1.5447422149037546
35,10,4.466835921509632,4.046313916201578E-6,1.5447422168441547
35,10,5.011872336272724,4.540039384875048E-6,1.5447422193669424
35,10,5.623413251903491,5.094008668238948E-6,1.5447422224998633
35,10,6.309573444801933,5.715572712485694E-6,1.544742226436961
35,10,7.07945784384138,6.41297944084607E-6,1.5447422313792636
35,10,7.943282347242816,7.195483228482084E-6,1.5447422375963342
35,10,8.912509381337456,8.073467742748822E-6,1.5447422454800024
