width (mm),length (mm),frequency (Hz),admittance (S),phase (rad)
1,5,1,1.4699684220700345E-8,1.547420361363152
1,5,1.0471285480508996,1.5392458996527642E-8,1.5474203613651618
1,5,1.096478196143185,1.6117883242666974E-8,1.5474203613684363
1,5,1.1481536214968828,1.687749568017668E-8,1.5474203613714106
1,5,1.202264434617413,1.7672907548450176E-8,1.5474203613734594
1,5,1.2589254117941673,1.8505806024077227E-8,1.5474203613765525
1,5,1.318256738556407,1.9377957795926876E-8,1.5474203613798418
1,5,1.3803842646028848,2.0291212814339822E-8,1.5474203613830309
1,5,1.4454397707459274,2.1247508217803228E-8,1.547420361387521
1,5,1.5135612484362082,2.224887243453776E-8,1.5474203613917403
1,5,1.5848931924611136,2.3297429492540925E-8,1.5474203613950268
1,5,1.6595869074375607,2.4395403525786455E-8,1.5474203614011879
1,5,1.7378008287493754,2.5545123481556006E-8,1.5474203614072297
1,5,1.8197008586099834,2.67490280717093E-8,1.5474203614148327
1,5,1.9054607179632472,2.8009670941599657E-8,1.547420361424799
1,5,1.9952623149688795,2.932972608235639E-8,1.5474203614361086
1,5,2.0892961308540396,3.071199350200314E-8,1.5474203614450677
1,5,2.1877616239495525,3.215940518045511E-8,1.547420361454801
1,5,2.290867652767773,3.367503127215346E-8,1.5474203614652684
1,5,2.3988329190194904,3.5262086624218895E-8,1.5474203614775632
1,5,2.51188643150958,3.6923937593843884E-8,1.547420361490347
1,5,2.6302679918953817,3.866410919186008E-8,1.5474203615055229
1,5,2.7542287033381663,4.0486292564109434E-8,1.5474203615259188
1,5,2.884031503126606,4.2394352786503856E-8,1.5474203615424167
1,5,3.019951720402016,4.43923371227661E-8,1.5474203615608775
1,5,3.1622776601683795,4.648448356431086E-8,1.5474203615801552
1,5,3.311311214825911,4.8675229849106465E-8,1.5474203616061124
1,5,3.4673685045253166,5.096922282883074E-8,1.5474203616318516
1,5,3.630780547701014,5.3371328369520433E-8,1.547420361657599
1,5,3.8018939632056115,5.588664167440382E-8,1.5474203616880025
1,5,3.9810717055349722,5.852049805428345E-8,1.547420361720458
1,5,4.168693834703354,6.1278484272298E-8,1.547420361755066
1,5,4.36515832240166,6.416645041130325E-8,1.5474203617981404
1,5,4.570881896148751,6.719052220879535E-8,1.547420361841452
1,5,4.786300923226384,7.035711415450219E-8,1.5474203618919211
1,5,5.011872336272724,7.367294300223878E-8,1.547420361945957
1,5,5.248074602497725,7.714504207803102E-8,1.5474203620040747
1,5,5.495408738576246,8.078077615977885E-8,1.5474203620637181
1,5,5.7543993733715695,8.458785717523915E-8,1.5474203621350269
1,5,6.025595860743578,8.857436043852659E-8,1.547420362213403
1,5,6.309573444801933,9.274874186414664E-8,1.5474203622983902
1,5,6.606934480075961,9.711985587366439E-8,1.5474203623888851
1,5,6.918309709189364,1.016969742208009E-7,1.5474203624900558
1,5,7.244359600749901,1.0648980559036663E-7,1.5474203626007663
1,5,7.5857757502918375,1.11508516219046E-7,1.5474203627190337
1,5,7.943282347242816,1.1676375151025622E-7,1.547420362850748
1,5,8.31763771102671,1.222666585510603E-7,1.547420362998036
1,5,8.709635899560807,1.2802890974072378E-7,1.5474203631575496
1,5,9.120108393559097,1.3406272763772204E-7,1.5474203633341712
1,5,9.549925860214358,1.403809107922802E-7,1.5474203635269956
1,5,10,1.469968609683111E-7,1.5474203637392379
1,5,10.471285480508996,1.5392461150180118E-7,1.5474203639699364
1,5,10.964781961431852,1.61178857130239E-7,1.5474203642215436
1,5,11.481536214968829,1.6877498516920828E-7,1.5474203645003002
1,5,12.02264434617413,1.7672910806013014E-7,1.5474203648048972
1,5,12.589254117941675,1.8505809766088692E-7,1.5474203651405243
1,5,13.182567385564074,1.9377962090202077E-7,1.547420365505089
1,5,13.803842646028853,2.029121774592203E-7,1.5474203659070849
1,5,14.454397707459272,2.1247513878959638E-7,1.5474203663473263
1,5,15.13561248436208,2.224887893561617E-7,1.547420366830832
1,5,15.848931924611133,2.329743695877103E-7,1.5474203673607039
1,5,16.595869074375607,2.439541210085774E-7,1.5474203679444354
1,5,17.378008287493753,2.554513332527643E-7,1.5474203685806345
1,5,18.197008586099834,2.674903937062467E-7,1.547420369277727
1,5,19.054607179632473,2.800968390975582E-7,1.5474203700430922
1,5,19.952623149688797,2.93297409700765E-7,1.547420370884953
1,5,20.892961308540396,3.0712010589685095E-7,1.5474203718020625
1,5,21.87761623949553,3.215942480165256E-7,1.5474203728120592
