,c0,r1,l1,c1
0,1.90262e-09,1215.93,0.637695,4.19103e-10
1,3.90262e-09,1215.93,0.435555,6.13608e-10
2,9.90262e-09,315.93,0.619724,4.61013e-10
3,1.990262e-08,115.93,0.339161,1.08704e-09
4,2.290262e-08,15.93,0.309237,1.19574e-09
5,2.890262e-08,15.93,0.257128,1.59152e-09
6,3.990262e-08,15.93,0.223236,2.11831e-09
7,4.18311e-09,1379.12,6.56568,6.50701e-10
8,8.18311e-09,379.12,3.06294,1.39484e-09
9,1.918311e-08,379.12,1.92047,2.2464e-09
10,3.918311e-08,291.2,1.6946,2.71814e-09
11,4.918311e-08,112.0,1.36334,3.61785e-09
12,4.918311e-08,11.2,1.12948,4.81536e-09
13,7.918311e-08,11.2,1.0161,5.82659e-09
14,4.90943e-09,1237.12,12.8202,6.95679e-10
15,9.90943e-09,1237.12,7.47717,1.12039e-09
16,2.410943e-08,237.12,2.30111,3.86788e-09
17,4.410943e-08,237.12,1.43439,6.8522e-09
18,5.810943e-08,237.12,2.47111,3.86788e-09
19,6.810943e-08,237.12,1.82441,5.66297e-09
20,8.810943e-08,237.12,1.29335,9.12027e-09
21,5.80943e-09,537.12,24.2201,8.41677e-10
22,1.280943e-08,337.12,9.18991,2.4014e-09
23,2.980943e-08,337.12,4.28715,5.14761e-09
24,5.980943e-08,337.12,3.03818,7.53662e-09
25,6.980943e-08,337.12,3.03818,7.53662e-09
26,8.980943e-08,337.12,2.43289,1.00312e-08
27,1.1280943e-07,137.12,1.79831,1.46867e-08
28,8.22211e-09,1045.39,57.9611,1.17208e-09
29,1.722211e-08,245.39,26.1063,2.51244e-09
30,4.122211e-08,245.39,9.39545,7.16832e-09
31,7.822211e-08,245.39,5.4035,1.26991e-08
32,9.222211e-08,145.39,6.91934,9.541e-09
33,1.2022211e-07,145.39,5.57425,1.26991e-08
34,0.0,0.0,0.0,0.0
