n,length,width,bulk,resistance,inductance,capacitance
0,5,1,1.90262e-09,1215.93,0.637695,4.19103e-10
1,5,2,3.90262e-09,1215.93,0.435555,6.13608e-10
2,5,5,9.90262e-09,315.93,0.619724,4.61013e-10
3,5,10,1.990262e-08,115.93,0.339161,1.08704e-09
4,5,12,2.290262e-08,15.93,0.309237,1.19574e-09
5,5,15,2.890262e-08,15.93,0.257128,1.59152e-09
6,5,20,3.990262e-08,15.93,0.223236,2.11831e-09
0,5,35,6.240543e-08,10.1604,0.0985,5.54985e-09
7,10,1,4.18311e-09,1379.12,6.56568,6.50701e-10
8,10,2,8.18311e-09,779.12,3.06294,1.39484e-09
9,10,5,1.918311e-08,379.12,1.92047,2.2464e-09
10,10,10,3.918311e-08,291.2,1.6946,2.71814e-09
11,10,12,4.918311e-08,112.0,1.36334,3.61785e-09
12,10,15,4.918311e-08,11.2,1.12948,4.81536e-09
13,10,20,7.918311e-08,11.2,1.0161,5.82659e-09
15,10,35,1.3240543e-07,10.1604,0.63925,8.10997e-09
14,12,1,4.90943e-09,1237.12,12.8202,6.95679e-10
15,12,2,9.90943e-09,837.12,7.47717,1.12039e-09
16,12,5,2.410943e-08,437.12,2.30111,3.86788e-09
17,12,10,4.410943e-08,237.12,1.43439,6.8522e-09
18,12,12,5.810943e-08,237.12,2.47111,3.86788e-09
19,12,15,6.810943e-08,237.12,1.82441,5.66297e-09
20,12,20,8.810943e-08,237.12,1.29335,9.12027e-09
2,12,35,1.5240543e-07,160.1604,1.3185,10.54985e-09
21,15,1,5.80943e-09,1137.12,24.2201,8.41677e-10
22,15,2,1.280943e-08,737.12,9.18991,2.4014e-09
23,15,5,2.980943e-08,337.12,4.28715,5.14761e-09
24,15,10,5.980943e-08,337.12,3.03818,7.53662e-09
25,15,12,6.980943e-08,237.12,3.03818,7.53662e-09
26,15,15,8.980943e-08,237.12,2.43289,1.00312e-08
27,15,20,1.1280943e-07,137.12,1.79831,1.46867e-08
3,15,35,1.9240543e-07,120.1604,1.50463,1.81994e-08
28,20,1,8.22211e-09,1045.39,57.9611,1.17208e-09
29,20,2,1.722211e-08,545.39,26.1063,2.51244e-09
30,20,5,4.122211e-08,245.39,9.39545,7.16832e-09
31,20,10,7.822211e-08,245.39,5.4035,8.26991e-09
32,20,12,9.222211e-08,145.39,6.91934,9.541e-09
33,20,15,1.2022211e-07,145.39,5.57425,1.26991e-08
34,20,20,1.5722211e-07,14.539,5.57425,1.66991e-08
4,20,35,2.6240543e-07,100.1604,7.40924,2.130997e-08
