,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,ccount,boost-frequency,inductance,boost-mass,vin,load,battery-mass,battery-alpha,runtime,runtime-new
0,0.006,0.008,450000.0,0.000127,1.0,25.0,400.0,0.0012338666332986,7928.307711478257,385.3528593710531,137.44796765153689,0.0,0.0003025764984147,0.2575205397498564,0.0460005222759875,57.15,2.82645126659733e-09,5.109108295097569e-10,1248.5680000000002,1.776018198745008,8.073802462335153e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,367601.0131552892,1.9e-06,0.12776,3.566841108856593,0.0168555558409376,0.0435800174738688,0.1453900730256981,87.65172788329947,1.4239759469156372
1,0.006,0.008,600000.0,0.000127,1.0,30.0,400.0,0.0010050273387698,7135.476940330432,385.3528593710531,138.32852276301628,0.0,0.000338349936777,0.2476232770821375,0.0374690272330834,76.2,2.368772677539774e-09,4.66400442527437e-10,1248.568,1.822275773741055,9.290111358807009e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,584391.3173111281,1.9e-06,0.12776,3.484370935538537,0.0272948182862611,0.0422142498490542,0.2159868447462261,77.89105293934514,1.265405583484131
2,0.006,0.0085,400000.0,0.000127,1.0,20.0,400.0,0.0013537304389833,7135.476940330428,385.3528593710531,137.94972593203784,0.0,0.0003374234041917,0.2855217501264838,0.0504692367340019,50.8,3.066178877966714e-09,5.342249390344574e-10,1248.5680000000002,1.7517889290639044,7.691834528139005e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,508194.6714470867,1.9e-06,0.12776,3.5928032084705945,0.0135692141176462,0.0671125133924818,0.1204578470257179,138.92017140789778,2.2568749011429112
3,0.006,0.0085,400000.0,0.000127,1.0,25.0,400.0,0.0021254636197495,8919.346175413035,385.3528593710531,138.7287537884801,0.0,0.0002714631177195,0.2986026084151628,0.0792406844860558,50.8,5.218751272415116e-09,8.054676666779832e-10,1111.8395173667232,0.9132525261149,0.0001243657818102,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,377980.9132829774,1.9e-06,0.12776,3.569312598667334,0.0165427090294514,0.0514219239291069,0.143077662845622,103.70386286287189,1.6847563634561797
4,0.006,0.0085,400000.0,0.000127,1.0,30.0,400.0,0.003078713011036,10703.21541049564,385.3528593710531,139.5271408487878,0.0,0.0002275211616611,0.323336504393515,0.1147793469922434,50.8,7.916144022072197e-09,9.158166626936487e-10,904.9540966891705,0.7619260321765023,0.0001793296057185,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,869019.4223022674,1.9e-06,0.12776,3.471283245801704,0.028951487873202,0.0406171574012715,0.2261317967106572,73.97443848096786,1.201776891651647
5,0.006,0.0085,450000.0,0.000127,1.0,20.0,400.0,0.0010696141740115,6342.646169182605,385.3528593710531,137.94972593203786,0.0,0.0003796013297156,0.2628204378646086,0.0398769277898287,57.15,2.497946348023085e-09,4.789629049161151e-10,1248.5680000000002,1.809220190865307,7.279773584552418e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,390731.7925573327,1.9e-06,0.12776,3.571864027390118,0.0162197433683395,0.0550035100747798,0.1406772947684118,111.23765901742924,1.8071492104122422
6,0.006,0.0085,450000.0,0.000127,1.0,25.0,400.0,0.0016793786625181,7928.307711478257,385.3528593710531,138.7287537884801,0.0,0.0003053960074344,0.2958129592873128,0.062609923544538,57.15,3.717475325036374e-09,5.975651467530995e-10,1248.568,1.685962397158574,0.0001022794259465,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,279732.6110964909,1.9e-06,0.12776,3.543910068075555,0.0197582192309424,0.0652630357427747,0.1662645976664175,128.05621554407296,2.0803807914183703
7,0.006,0.0085,450000.0,0.000127,1.0,30.0,400.0,0.0024325633667445,9513.969253773908,385.3528593710531,139.52714084878787,0.0,0.0002559613068687,0.3355172681811641,0.0906898544136246,57.15,6.344783678063449e-09,8.926389535283373e-10,1070.8928844340564,0.7963017767984409,0.0001666319265928,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,584152.0812084243,1.9e-06,0.12776,3.4094361264820523,0.0367802371541705,0.0768874137675394,0.2707255598618449,131.96276115445963,2.1438459097881575
8,0.006,0.0085,500000.0,0.000127,1.0,25.0,400.0,0.0013602967166397,7135.476940330431,385.3528593710531,138.7287537884801,0.0,0.0003393288971494,0.3083739701205671,0.0507140380710758,63.5,3.079311433279464e-09,5.35502112870011e-10,1248.5680000000002,1.7504616216984443,9.650068334448828e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,594297.5690948138,1.9e-06,0.12776,3.411638367463018,0.0365014724730356,0.0897199320494912,0.2692260976920153,154.30397493111604,2.5067979968427707
9,0.006,0.0085,500000.0,0.000127,1.0,30.0,400.0,0.0019703763270631,8562.572328396516,385.3528593710531,139.52714084878784,0.0,0.0002844014520764,0.3131752432776575,0.0734587820750359,63.5,4.640223308252431e-09,7.47810269644414e-10,1146.3422037621351,1.0647960241429697,0.0001398928492949,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,905098.9558046951,1.9e-06,0.12776,3.2941477713388387,0.0513736998305267,0.0717764612026214,0.3414635778073017,111.24153958345512,1.8072122534670678
